Image,label,StdR,StdG,StdB,Correlation,Dissimilarity,Homogeneity,Energy,Contrast
ISIC_0000000,0,0.2413041251985246,0.30354750016598575,0.3389393004612763,0.9978174550355875,2.9162590257050525,0.3760700981942209,0.047647937957943,19.639224642203843
ISIC_0000001,0,0.13769182268746774,0.1686702296562956,0.18028174112968096,0.9938632804882059,1.9866783547182898,0.4664551096070859,0.08525227684481967,11.569902375338659
ISIC_0000002,1,0.17353565488848618,0.21706302696656793,0.2604196248093729,0.9926397706961864,3.635167114690221,0.2768251692591824,0.03169962801268023,26.183864043113942
ISIC_0000003,0,0.19305046999283015,0.26220971723434733,0.3047579143824304,0.9963345384320532,2.89179145612077,0.43253824327657164,0.07208226325889072,24.94937673799167
ISIC_0000004,1,0.38022042910823617,0.30640789082982556,0.34513310631957095,0.9960316657497755,3.4950095813958764,0.5418547497044279,0.31094615744235854,51.99556006502118
ISIC_0000006,0,0.17445330409629756,0.1818618733313483,0.18455933502008642,0.9910504347039344,3.324613602152253,0.2691103927101112,0.041753868350911175,19.478532979104003
ISIC_0000007,0,0.17204778734486761,0.19142022713476037,0.20540972506031882,0.9932857379166784,3.0550028700198117,0.2950645542343841,0.04524642297935059,17.75382970790988
ISIC_0000008,0,0.15472279550527385,0.24049747513830638,0.28958863193575646,0.9964442663600634,2.6294049686802667,0.4247318362268798,0.05985953484109057,18.249262408504308
ISIC_0000009,0,0.1277109143692829,0.18758252848403625,0.22608274945311932,0.9933565357710232,2.8451292388675435,0.3292618391545383,0.03794414466413239,16.709197264351545
ISIC_0000010,0,0.09043367634716962,0.12413788621872383,0.14133352221330922,0.981320401077781,2.3306258761774576,0.4170150144456309,0.07017385246659694,16.30568026920202
ISIC_0000011,0,0.25485623411120695,0.2662109380210154,0.2812510594053213,0.9975548491819142,2.4063693298032622,0.3854961128501256,0.0406843492679245,12.614657672262389
ISIC_0000012,0,0.0943501533779375,0.11401006817694224,0.11954641262484747,0.9754359163148655,3.645975764536689,0.2595026746035678,0.036779078918684684,25.966159867733346
ISIC_0000013,1,0.2828392036203397,0.30697903990838155,0.31745869793034903,0.9982329276330469,2.2398327506514266,0.49702910738616124,0.07275324133523757,18.409514883167365
ISIC_0000014,0,0.0984540657448606,0.13851742833354705,0.18171417292259023,0.9927297747864867,2.131917515254111,0.40605121768370567,0.05605040279990034,9.337041384841582
ISIC_0000015,0,0.12855769105767786,0.1904420236506875,0.2358477105857814,0.9948787103860592,2.535441018893846,0.3668695414190707,0.04705840301563284,13.923434434276748
ISIC_0000016,0,0.17741322094807163,0.24879895422530296,0.28400707080695997,0.9979942792926331,1.6827417773978037,0.5741313520243353,0.12370020282792757,10.664237241743301
ISIC_0000017,0,0.13733829653413823,0.19492733355169048,0.22311484060046638,0.904201768394366,4.755901741905455,0.27815369711701843,0.053729989972400666,207.39801750038737
ISIC_0000018,0,0.11228533502531195,0.1650495951387086,0.20872660969600557,0.8675434086844019,3.594901576365354,0.38509106689926387,0.05724469172722067,207.1144844566484
ISIC_0000019,0,0.17204625254098596,0.24825976273630027,0.2724366114836238,0.9364542237632074,5.8684344145268765,0.2776801330824846,0.045438196613021876,282.5151347535792
ISIC_0000020,0,0.13375862120461107,0.20139075202493054,0.22123718031282094,0.9194209606214236,5.025422634428687,0.24432549140831789,0.03809669192211735,197.056299540833
ISIC_0000021,0,0.1073576219983242,0.14915003184276876,0.19067339970553687,0.8313987874164356,5.205810492871418,0.24961656150820663,0.03655868036147055,212.4810572858474
ISIC_0000022,1,0.11992348010134155,0.18727289543371922,0.23001930546191002,0.8957298272641809,4.754025613467892,0.2787076122155243,0.041266609596812595,191.58082184906428
ISIC_0000023,0,0.11145872959661081,0.16677345159163814,0.1873787560116795,0.8650148078826231,3.3765640126629393,0.37766466730879134,0.062049774516291636,189.81594532545006
ISIC_0000024,0,0.0882779806976784,0.10759139114922715,0.11189276794238805,0.595356851400326,3.5222456832101603,0.37919074298883787,0.06117871006473419,209.4632802423061
ISIC_0000025,0,0.09053301628879051,0.15062228097134545,0.1559559694634789,0.8188291650727108,4.508518244779592,0.26345011190488166,0.04109749442085409,181.91062844097192
ISIC_0000026,1,0.09328844905285755,0.1420360576339788,0.16763895807363138,0.805722384416864,3.072075694909275,0.4095788415318006,0.0574166675753843,166.57955776558956
ISIC_0000027,0,0.10518611903031824,0.14854540852811313,0.17286280690500852,0.8359670072161609,3.866631989131113,0.316256052766934,0.05691493901015225,187.39544368423293
ISIC_0000028,0,0.212991520204984,0.2545448237302781,0.2690137777126001,0.9493606587991872,4.947103097897887,0.28316631338278614,0.045718681160935,258.8262775089228
ISIC_0000029,1,0.30134355344323194,0.3522034230413415,0.3578201712267059,0.9714186824991806,6.035667245039598,0.24032151960876574,0.03337015982385776,374.802930813575
ISIC_0000030,1,0.2639938571477432,0.2774969612869432,0.27044304145228804,0.9726348049434492,5.1178622284569055,0.2685599180055976,0.025113014246706637,180.6006724527293
ISIC_0000031,1,0.2464043808563328,0.2636735163841009,0.26770491959536313,0.968595073325303,5.351802304203179,0.2544941787497321,0.026998730217783356,174.74966470053454
ISIC_0000032,0,0.14980524274750717,0.2031971349367393,0.23007204044417118,0.9032958264928299,5.912923177551005,0.25414672065374666,0.03636782981412926,240.43086044216733
ISIC_0000034,0,0.16621983285422756,0.22605153926739963,0.2436203705532047,0.9433040543074733,4.507879874096253,0.2847275688912012,0.043100281330502484,194.6186111088178
ISIC_0000035,1,0.14987504496511522,0.1969903401286188,0.22578070081845544,0.925228170488342,4.223252236945711,0.3294345607329186,0.03527798773687647,217.17878214655718
ISIC_0000036,1,0.3578040852566558,0.33764451393852646,0.3817934326524051,0.992470370579009,4.352648677259426,0.39171438914970524,0.12146485959479394,87.95062753517058
